Goterm,ID,Description,NES,pvalue,p.adjust,pergene,FDR
Mitochondrial rna processing (GO:0000963),GO:0000963,Mitochondrial rna processing,0.7153353,0.8567012,0.9569437,0.25,0.956793354
Energy derivation by oxidation of organic compounds (GO:0015980),GO:0015980,Energy derivation by oxidation of organic compounds,0.8585853,0.8567793,0.9569437,0.225092251,0.956793354
Relaxation of cardiac muscle (GO:0055119),GO:0055119,Relaxation of cardiac muscle,-0.7197578,0.8569842,0.9569437,0.375,0.956793354
Intestinal epithelial cell development (GO:0060576),GO:0060576,Intestinal epithelial cell development,0.7117594,0.8570379,0.9569437,0.142857143,0.956793354
Nucleoside triphosphate biosynthetic process (GO:0009142),GO:0009142,Nucleoside triphosphate biosynthetic process,0.7963615,0.8571198,0.9569437,0.151898734,0.956793354
Branching involved in blood vessel morphogenesis (GO:0001569),GO:0001569,Branching involved in blood vessel morphogenesis,0.7524042,0.8571677,0.9569437,0.15625,0.956793354
Regulation of t-helper cell differentiation (GO:0045622),GO:0045622,Regulation of t-helper cell differentiation,0.7545625,0.8571921,0.9569437,0.2,0.956793354
Protein transmembrane transport (GO:0071806),GO:0071806,Protein transmembrane transport,-0.799943,0.8572862,0.9569437,0.216666667,0.956793354
Poly-n-acetyllactosamine metabolic process (GO:0030309),GO:0030309,Poly-n-acetyllactosamine metabolic process,-0.7113037,0.857331,0.9569437,0.461538462,0.956793354
Protein tetramerization (GO:0051262),GO:0051262,Protein tetramerization,0.8036221,0.8574194,0.9569437,0.162790698,0.956793354
Aerobic respiration (GO:0009060),GO:0009060,Aerobic respiration,0.8031279,0.8577419,0.9569437,0.418604651,0.956793354
Cell cycle g1/s phase transition (GO:0044843),GO:0044843,Cell cycle g1/s phase transition,0.8584753,0.8579714,0.9569437,0.303703704,0.956793354
Aortic valve development (GO:0003176),GO:0003176,Aortic valve development,0.7512631,0.8580376,0.9569437,0.375,0.956793354
Auditory receptor cell stereocilium organization (GO:0060088),GO:0060088,Auditory receptor cell stereocilium organization,-0.7081829,0.858114,0.9569437,0.285714286,0.956793354
Serine phosphorylation of stat protein (GO:0042501),GO:0042501,Serine phosphorylation of stat protein,0.7350486,0.8583539,0.9569437,0.148148148,0.956793354
Positive regulation of exosomal secretion (GO:1903543),GO:1903543,Positive regulation of exosomal secretion,-0.7168003,0.8586932,0.9569437,0.333333333,0.956793354
Vitamin transport (GO:0051180),GO:0051180,Vitamin transport,0.7579117,0.8590293,0.9569437,0.075,0.956793354
Coronary vasculature development (GO:0060976),GO:0060976,Coronary vasculature development,0.767381,0.8591644,0.9569437,0.125,0.956793354
Nucleoside monophosphate metabolic process (GO:0009123),GO:0009123,Nucleoside monophosphate metabolic process,0.7907537,0.8592289,0.9569437,0.085714286,0.956793354
Positive regulation of sphingolipid biosynthetic process (GO:0090154),GO:0090154,Positive regulation of sphingolipid biosynthetic process,0.6943686,0.8595808,0.9569437,0.5,0.956793354
Positive regulation of ceramide biosynthetic process (GO:2000304),GO:2000304,Positive regulation of ceramide biosynthetic process,0.6943686,0.8595808,0.9569437,0.5,0.956793354
Enteric nervous system development (GO:0048484),GO:0048484,Enteric nervous system development,0.7062528,0.8598506,0.9569437,0.333333333,0.956793354
Lymph vessel development (GO:0001945),GO:0001945,Lymph vessel development,0.7337853,0.86,0.9569437,0.173913043,0.956793354
Protein heterooligomerization (GO:0051291),GO:0051291,Protein heterooligomerization,0.730271,0.860217,0.9569437,0.318181818,0.956793354
Scf-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),GO:0031146,Scf-dependent proteasomal ubiquitin-dependent protein catabolic process,0.804637,0.8606742,0.9569437,0.230769231,0.956793354
Pyrimidine nucleoside monophosphate metabolic process (GO:0009129),GO:0009129,Pyrimidine nucleoside monophosphate metabolic process,-0.7154659,0.8606866,0.9569437,0.133333333,0.956793354
Semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285),GO:1902285,Semaphorin-plexin signaling pathway involved in neuron projection guidance,0.7009026,0.8608153,0.9569437,0.230769231,0.956793354
Telomere maintenance via recombination (GO:0000722),GO:0000722,Telomere maintenance via recombination,-0.7081331,0.8608428,0.9569437,0.615384615,0.956793354
Inner mitochondrial membrane organization (GO:0007007),GO:0007007,Inner mitochondrial membrane organization,-0.7887137,0.8608717,0.9569437,0.211538462,0.956793354
Synaptic vesicle docking (GO:0016081),GO:0016081,Synaptic vesicle docking,0.6906954,0.8608967,0.9569437,0.272727273,0.956793354
Peptidyl-arginine modification (GO:0018195),GO:0018195,Peptidyl-arginine modification,0.7327911,0.8611798,0.9569437,0.222222222,0.956793354
Fc receptor signaling pathway (GO:0038093),GO:0038093,Fc receptor signaling pathway,-0.8661084,0.8614495,0.9569437,0.168539326,0.956793354
V(d)j recombination (GO:0033151),GO:0033151,V(d)j recombination,0.7053942,0.8614908,0.9569437,0.066666667,0.956793354
Flavonoid metabolic process (GO:0009812),GO:0009812,Flavonoid metabolic process,0.7085725,0.8616112,0.9569437,0.25,0.956793354
Negative regulation of b cell mediated immunity (GO:0002713),GO:0002713,Negative regulation of b cell mediated immunity,0.6915198,0.8616212,0.9569437,0.333333333,0.956793354
Negative regulation of immunoglobulin mediated immune response (GO:0002890),GO:0002890,Negative regulation of immunoglobulin mediated immune response,0.6915198,0.8616212,0.9569437,0.333333333,0.956793354
Negative regulation of natural killer cell activation (GO:0032815),GO:0032815,Negative regulation of natural killer cell activation,-0.6962083,0.8616928,0.9569437,0.2,0.956793354
Positive regulation of bmp signaling pathway (GO:0030513),GO:0030513,Positive regulation of bmp signaling pathway,0.7506187,0.8618718,0.9569437,0.205882353,0.956793354
Primary alcohol catabolic process (GO:0034310),GO:0034310,Primary alcohol catabolic process,0.7077899,0.8621568,0.9569437,0.1875,0.956793354
Positive regulation of cellular senescence (GO:2000774),GO:2000774,Positive regulation of cellular senescence,-0.7058872,0.8621598,0.9569437,0.307692308,0.956793354
Regulation of glomerular filtration (GO:0003093),GO:0003093,Regulation of glomerular filtration,0.6895584,0.862183,0.9569437,0.090909091,0.956793354
Regulation of sodium ion transmembrane transport (GO:1902305),GO:1902305,Regulation of sodium ion transmembrane transport,0.7841145,0.862314,0.9569437,0.234375,0.956793354
Epithelial tube morphogenesis (GO:0060562),GO:0060562,Epithelial tube morphogenesis,0.863135,0.8625,0.9569437,0.161993769,0.956793354
Pituitary gland development (GO:0021983),GO:0021983,Pituitary gland development,-0.77892,0.8628626,0.9569437,0.475,0.956793354
Negative regulation of cytokine production involved in inflammatory response (GO:1900016),GO:1900016,Negative regulation of cytokine production involved in inflammatory response,0.7093487,0.8629105,0.9569437,0.117647059,0.956793354
Formation of extrachromosomal circular dna (GO:0001325),GO:0001325,Formation of extrachromosomal circular dna,0.7039276,0.8629488,0.9569437,0.2,0.956793354
T-circle formation (GO:0090656),GO:0090656,T-circle formation,0.7039276,0.8629488,0.9569437,0.2,0.956793354
Telomere maintenance via telomere trimming (GO:0090737),GO:0090737,Telomere maintenance via telomere trimming,0.7039276,0.8629488,0.9569437,0.2,0.956793354
Positive regulation by host of viral process (GO:0044794),GO:0044794,Positive regulation by host of viral process,0.702851,0.8640206,0.9579498,0.285714286,0.957799211
Regulation of membrane invagination (GO:1905153),GO:1905153,Regulation of membrane invagination,0.706155,0.8641571,0.9579498,0.375,0.957799211
Negative regulation of cyclase activity (GO:0031280),GO:0031280,Negative regulation of cyclase activity,0.7294029,0.8644248,0.9580282,0.173913043,0.957877697
Sodium ion export across plasma membrane (GO:0036376),GO:0036376,Sodium ion export across plasma membrane,0.7021611,0.864589,0.9580282,0.133333333,0.957877697
Regulation of intrinsic apoptotic signaling pathway (GO:2001242),GO:2001242,Regulation of intrinsic apoptotic signaling pathway,-0.8545931,0.8646796,0.9580282,0.19375,0.957877697
Regulation of hydrogen peroxide metabolic process (GO:0010310),GO:0010310,Regulation of hydrogen peroxide metabolic process,0.7177976,0.8651825,0.9584186,0.210526316,0.958267943
Cell communication involved in cardiac conduction (GO:0086065),GO:0086065,Cell communication involved in cardiac conduction,-0.7885654,0.8654942,0.9585969,0.259259259,0.958446319
Ganglioside biosynthetic process (GO:0001574),GO:0001574,Ganglioside biosynthetic process,0.6959325,0.8659567,0.9589423,0.307692308,0.958791599
Regulation of receptor catabolic process (GO:2000644),GO:2000644,Regulation of receptor catabolic process,-0.6922172,0.866274,0.959049,0.4,0.958898343
Negative regulation of collagen biosynthetic process (GO:0032966),GO:0032966,Negative regulation of collagen biosynthetic process,0.6866453,0.8663714,0.959049,0.4,0.958898343
Regulation of microtubule depolymerization (GO:0031114),GO:0031114,Regulation of microtubule depolymerization,-0.7627888,0.8666354,0.959049,0.516129032,0.958898343
Skin epidermis development (GO:0098773),GO:0098773,Skin epidermis development,0.7995315,0.866656,0.959049,0.269662921,0.958898343
Regulation of vesicle fusion (GO:0031338),GO:0031338,Regulation of vesicle fusion,0.7415741,0.8674909,0.9596468,0.290322581,0.959496002
Calcium ion import into cytosol (GO:1902656),GO:1902656,Calcium ion import into cytosol,0.7283248,0.8674978,0.9596468,0.19047619,0.959496002
Dna replication-independent nucleosome assembly (GO:0006336),GO:0006336,Dna replication-independent nucleosome assembly,-0.7843576,0.8681427,0.9601221,0.433962264,0.95997118
Gene silencing (GO:0016458),GO:0016458,Gene silencing,0.8499722,0.8682292,0.9601221,0.234375,0.95997118
Foregut morphogenesis (GO:0007440),GO:0007440,Foregut morphogenesis,-0.6900108,0.8686736,0.9603514,0.3,0.960200434
Glutamine family amino acid catabolic process (GO:0009065),GO:0009065,Glutamine family amino acid catabolic process,-0.7513333,0.8687384,0.9603514,0.269230769,0.960200434
Regulation of non-canonical wnt signaling pathway (GO:2000050),GO:2000050,Regulation of non-canonical wnt signaling pathway,-0.7382702,0.8690257,0.9605021,0.260869565,0.960351138
Telencephalon development (GO:0021537),GO:0021537,Telencephalon development,0.8487386,0.8698318,0.961226,0.150197628,0.961075011
Positive regulation of glycoprotein biosynthetic process (GO:0010560),GO:0010560,Positive regulation of glycoprotein biosynthetic process,-0.7341335,0.8705184,0.961787,0.272727273,0.96163585
Neuroepithelial cell differentiation (GO:0060563),GO:0060563,Neuroepithelial cell differentiation,0.7677398,0.8706417,0.961787,0.358490566,0.96163585
Cellular senescence (GO:0090398),GO:0090398,Cellular senescence,0.781818,0.8708087,0.9618045,0.220588235,0.96165335
Negative regulation of t-helper 17 type immune response (GO:2000317),GO:2000317,Negative regulation of t-helper 17 type immune response,-0.6869159,0.8710526,0.9618245,0.272727273,0.961673364
Positive regulation of establishment of protein localization to telomere (GO:1904851),GO:1904851,Positive regulation of establishment of protein localization to telomere,0.682311,0.8711702,0.9618245,0.5,0.961673364
Gpi anchor metabolic process (GO:0006505),GO:0006505,Gpi anchor metabolic process,0.7413443,0.8712803,0.9618245,0.121212121,0.961673364
Hindbrain radial glia guided cell migration (GO:0021932),GO:0021932,Hindbrain radial glia guided cell migration,0.6818602,0.872093,0.9624577,0.2,0.962306455
Metanephros development (GO:0001656),GO:0001656,Metanephros development,0.7959168,0.8721564,0.9624577,0.340909091,0.962306455
Negative regulation of mrna metabolic process (GO:1903312),GO:1903312,Negative regulation of mrna metabolic process,0.7949211,0.8726514,0.9628369,0.149425287,0.962685661
Regulation of corticosteroid hormone secretion (GO:2000846),GO:2000846,Regulation of corticosteroid hormone secretion,-0.6962834,0.872807,0.9628417,0.285714286,0.962690384
Rac protein signal transduction (GO:0016601),GO:0016601,Rac protein signal transduction,0.7490047,0.8731472,0.96305,0.307692308,0.96289868
Retinol metabolic process (GO:0042572),GO:0042572,Retinol metabolic process,0.7585913,0.8734584,0.9631694,0.127659574,0.963018056
Dna recombination (GO:0006310),GO:0006310,Dna recombination,-0.8836218,0.8736475,0.9631694,0.281786942,0.963018056
Negative regulation of wound healing (GO:0061045),GO:0061045,Negative regulation of wound healing,0.7823668,0.8738532,0.9631694,0.309859155,0.963018056
Positive regulation of double-strand break repair (GO:2000781),GO:2000781,Positive regulation of double-strand break repair,-0.7624112,0.873912,0.9631694,0.388888889,0.963018056
Replicative senescence (GO:0090399),GO:0090399,Replicative senescence,-0.6950542,0.8740123,0.9631694,0.384615385,0.963018056
Positive regulation of atpase activity (GO:0032781),GO:0032781,Positive regulation of atpase activity,-0.7826975,0.874164,0.9631698,0.481481481,0.963018419
Peptidyl-serine dephosphorylation (GO:0070262),GO:0070262,Peptidyl-serine dephosphorylation,0.7133789,0.8744419,0.9632022,0.05,0.963050888
Response to muscle inactivity (GO:0014870),GO:0014870,Response to muscle inactivity,-0.6838991,0.8745614,0.9632022,0.363636364,0.963050888
Regulation of dendritic cell differentiation (GO:2001198),GO:2001198,Regulation of dendritic cell differentiation,-0.6865893,0.8746476,0.9632022,0.416666667,0.963050888
Regulation of epithelial cell differentiation involved in kidney development (GO:2000696),GO:2000696,Regulation of epithelial cell differentiation involved in kidney development,0.7091875,0.8749777,0.9633991,0.421052632,0.963247643
Establishment of melanosome localization (GO:0032401),GO:0032401,Establishment of melanosome localization,0.721489,0.8757522,0.964085,0.260869565,0.963933477
Regulation of dna replication (GO:0006275),GO:0006275,Regulation of dna replication,0.8050834,0.8761639,0.9643713,0.258928571,0.964219812
Regulation of hair cycle (GO:0042634),GO:0042634,Regulation of hair cycle,0.7278304,0.8768065,0.9646671,0.379310345,0.964515466
Macrophage differentiation (GO:0030225),GO:0030225,Macrophage differentiation,0.7511836,0.8769178,0.9646671,0.222222222,0.964515466
T-helper 1 cell differentiation (GO:0045063),GO:0045063,T-helper 1 cell differentiation,0.7068763,0.8771149,0.9646671,0.105263158,0.964515466
Negative regulation of type 2 immune response (GO:0002829),GO:0002829,Negative regulation of type 2 immune response,-0.6921985,0.8774123,0.9646671,0.285714286,0.964515466
Negative regulation of response to dna damage stimulus (GO:2001021),GO:2001021,Negative regulation of response to dna damage stimulus,0.7827183,0.877436,0.9646671,0.182926829,0.964515466
Pyrimidine-containing compound metabolic process (GO:0072527),GO:0072527,Pyrimidine-containing compound metabolic process,-0.8099603,0.8775671,0.9646671,0.301204819,0.964515466
Protein o-linked mannosylation (GO:0035269),GO:0035269,Protein o-linked mannosylation,-0.7163122,0.8775929,0.9646671,0.421052632,0.964515466
"Nucleotide-excision repair, dna duplex unwinding (GO:0000717)",GO:0000717,"Nucleotide-excision repair, dna duplex unwinding",0.714905,0.8776454,0.9646671,0.454545455,0.964515466
Lens development in camera-type eye (GO:0002088),GO:0002088,Lens development in camera-type eye,-0.8003094,0.877916,0.964783,0.28,0.964631356
Dna integration (GO:0015074),GO:0015074,Dna integration,-0.6831875,0.8780541,0.964783,0.4,0.964631356
Activation of mapkkk activity (GO:0000185),GO:0000185,Activation of mapkkk activity,0.6764117,0.8790577,0.9657189,0.166666667,0.965567177
Regulation of gene silencing by mirna (GO:0060964),GO:0060964,Regulation of gene silencing by mirna,0.8023664,0.8795893,0.9658988,0.234234234,0.965746989
Ncrna 3'-end processing (GO:0043628),GO:0043628,Ncrna 3'-end processing,-0.7716325,0.8795938,0.9658988,0.266666667,0.965746989
Cellular response to growth hormone stimulus (GO:0071378),GO:0071378,Cellular response to growth hormone stimulus,0.7201856,0.8796768,0.9658988,0.375,0.965746989
Response to lead ion (GO:0010288),GO:0010288,Response to lead ion,0.7128107,0.880313,0.9663112,0.5,0.966159308
Glomerular visceral epithelial cell development (GO:0072015),GO:0072015,Glomerular visceral epithelial cell development,0.6751725,0.8803561,0.9663112,0.333333333,0.966159308
Negative regulation of telomere maintenance (GO:0032205),GO:0032205,Negative regulation of telomere maintenance,-0.756795,0.8808278,0.9664847,0.371428571,0.966332845
Adenine nucleotide transport (GO:0051503),GO:0051503,Adenine nucleotide transport,-0.7500794,0.880958,0.9664847,0.35483871,0.966332845
Regulation of cell adhesion mediated by integrin (GO:0033628),GO:0033628,Regulation of cell adhesion mediated by integrin,-0.7720655,0.8809699,0.9664847,0.276595745,0.966332845
Mannosylation (GO:0097502),GO:0097502,Mannosylation,-0.757924,0.881344,0.9667285,0.405405405,0.966576543
Positive regulation of g2/m transition of mitotic cell cycle (GO:0010971),GO:0010971,Positive regulation of g2/m transition of mitotic cell cycle,-0.7414432,0.8817972,0.9670589,0.296296296,0.966906892
Negative regulation of carbohydrate metabolic process (GO:0045912),GO:0045912,Negative regulation of carbohydrate metabolic process,-0.7742327,0.8820059,0.9670744,0.274509804,0.966922388
Mitochondrial dna replication (GO:0006264),GO:0006264,Mitochondrial dna replication,0.6806347,0.8821153,0.9670744,0.230769231,0.966922388
Embryonic axis specification (GO:0000578),GO:0000578,Embryonic axis specification,0.7430678,0.8824543,0.9671691,0.230769231,0.967017098
Regulation of microtubule polymerization or depolymerization (GO:0031110),GO:0031110,Regulation of microtubule polymerization or depolymerization,-0.8095902,0.8825858,0.9671691,0.282352941,0.967017098
Cardiac muscle contraction (GO:0060048),GO:0060048,Cardiac muscle contraction,0.8114112,0.8826577,0.9671691,0.255639098,0.967017098
Heart looping (GO:0001947),GO:0001947,Heart looping,-0.7886723,0.882944,0.9671777,0.209677419,0.967025752
Regulation of extracellular matrix organization (GO:1903053),GO:1903053,Regulation of extracellular matrix organization,0.7433272,0.8829696,0.9671777,0.243902439,0.967025752
Nuclear envelope organization (GO:0006998),GO:0006998,Nuclear envelope organization,0.7516766,0.8833839,0.9674094,0.176470588,0.967257405
Receptor recycling (GO:0001881),GO:0001881,Receptor recycling,-0.7508837,0.8835066,0.9674094,0.294117647,0.967257405
Negative regulation of erad pathway (GO:1904293),GO:1904293,Negative regulation of erad pathway,0.6857913,0.8836825,0.9674094,0.142857143,0.967257405
Skeletal muscle tissue regeneration (GO:0043403),GO:0043403,Skeletal muscle tissue regeneration,-0.7574786,0.8838969,0.9674094,0.394736842,0.967257405
Exonucleolytic catabolism of deadenylated mrna (GO:0043928),GO:0043928,Exonucleolytic catabolism of deadenylated mrna,-0.7501832,0.8839413,0.9674094,0.181818182,0.967257405
Corticosteroid hormone secretion (GO:0035930),GO:0035930,Corticosteroid hormone secretion,0.6831437,0.8850009,0.9680672,0.466666667,0.967915029
Negative regulation of delayed rectifier potassium channel activity (GO:1902260),GO:1902260,Negative regulation of delayed rectifier potassium channel activity,0.6694984,0.8851975,0.9680672,0.5,0.967915029
Protein polyglutamylation (GO:0018095),GO:0018095,Protein polyglutamylation,-0.6777747,0.8854912,0.9680672,0.916666667,0.967915029
Liver regeneration (GO:0097421),GO:0097421,Liver regeneration,0.7279421,0.8856994,0.9680672,0.09375,0.967915029
Regulation of high voltage-gated calcium channel activity (GO:1901841),GO:1901841,Regulation of high voltage-gated calcium channel activity,-0.6847843,0.8857456,0.9680672,0.285714286,0.967915029
Bicellular tight junction assembly (GO:0070830),GO:0070830,Bicellular tight junction assembly,0.7772318,0.8857514,0.9680672,0.263157895,0.967915029
Cardiac muscle hypertrophy (GO:0003300),GO:0003300,Cardiac muscle hypertrophy,0.7788983,0.886213,0.9680672,0.151898734,0.967915029
Drug metabolic process (GO:0017144),GO:0017144,Drug metabolic process,-0.7679968,0.8863306,0.9680672,0.181818182,0.967915029
Positive regulation of blood coagulation (GO:0030194),GO:0030194,Positive regulation of blood coagulation,0.7112393,0.8864359,0.9680672,0.074074074,0.967915029
Positive regulation of hemostasis (GO:1900048),GO:1900048,Positive regulation of hemostasis,0.7112393,0.8864359,0.9680672,0.074074074,0.967915029
Phosphatidylglycerol metabolic process (GO:0046471),GO:0046471,Phosphatidylglycerol metabolic process,0.7306366,0.8864818,0.9680672,0.411764706,0.967915029
Monocyte chemotactic protein-1 production (GO:0071605),GO:0071605,Monocyte chemotactic protein-1 production,-0.6934606,0.8865201,0.9680672,0.4375,0.967915029
Regulation of monocyte chemotactic protein-1 production (GO:0071637),GO:0071637,Regulation of monocyte chemotactic protein-1 production,-0.6934606,0.8865201,0.9680672,0.4375,0.967915029
Collecting duct development (GO:0072044),GO:0072044,Collecting duct development,0.6809341,0.8870056,0.9683049,0.133333333,0.968152767
Embryonic skeletal system development (GO:0048706),GO:0048706,Embryonic skeletal system development,0.8043256,0.8870422,0.9683049,0.221311475,0.968152767
High-density lipoprotein particle assembly (GO:0034380),GO:0034380,High-density lipoprotein particle assembly,0.6803694,0.8873701,0.9684968,0.2,0.968344524
Regulation of rac protein signal transduction (GO:0035020),GO:0035020,Regulation of rac protein signal transduction,-0.7054931,0.8880108,0.9685541,0.470588235,0.968401871
Placenta blood vessel development (GO:0060674),GO:0060674,Placenta blood vessel development,0.7280345,0.8882353,0.9685541,0.121212121,0.968401871
Multi-organism cellular process (GO:0044764),GO:0044764,Multi-organism cellular process,-0.7042826,0.8884624,0.9685541,0.352941176,0.968401871
Regulation of rna stability (GO:0043487),GO:0043487,Regulation of rna stability,0.8291692,0.8885626,0.9685541,0.274611399,0.968401871
Regulation of peptide hormone secretion (GO:0090276),GO:0090276,Regulation of peptide hormone secretion,0.8336728,0.8886291,0.9685541,0.264423077,0.968401871
Humoral immune response mediated by circulating immunoglobulin (GO:0002455),GO:0002455,Humoral immune response mediated by circulating immunoglobulin,0.7476882,0.8886636,0.9685541,0.276595745,0.968401871
Axis elongation (GO:0003401),GO:0003401,Axis elongation,0.7223912,0.8887719,0.9685541,0.3,0.968401871
"Retrograde transport, endosome to plasma membrane (GO:1990126)",GO:1990126,"Retrograde transport, endosome to plasma membrane",0.7221999,0.8887719,0.9685541,0.366666667,0.968401871
Regulation of cardiac muscle cell membrane repolarization (GO:0099623),GO:0099623,Regulation of cardiac muscle cell membrane repolarization,0.7091264,0.8889279,0.9685541,0.538461538,0.968401871
Smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:0060831),GO:0060831,Smoothened signaling pathway involved in dorsal/ventral neural tube patterning,0.6787779,0.8893789,0.9685541,0.142857143,0.968401871
Terpenoid metabolic process (GO:0006721),GO:0006721,Terpenoid metabolic process,-0.8266562,0.8894515,0.9685541,0.228813559,0.968401871
Mda-5 signaling pathway (GO:0039530),GO:0039530,Mda-5 signaling pathway,0.6647681,0.8896272,0.9685541,0.1,0.968401871
Regulation of striated muscle contraction (GO:0006942),GO:0006942,Regulation of striated muscle contraction,-0.8080871,0.8896533,0.9685541,0.315217391,0.968401871
Cardiac chamber development (GO:0003205),GO:0003205,Cardiac chamber development,-0.8479607,0.889697,0.9685541,0.226190476,0.968401871
Negative regulation of nik/nf-kappab signaling (GO:1901223),GO:1901223,Negative regulation of nik/nf-kappab signaling,-0.7180735,0.8897059,0.9685541,0.217391304,0.968401871
Cardiac muscle cell contraction (GO:0086003),GO:0086003,Cardiac muscle cell contraction,0.7700707,0.8898932,0.9685923,0.217391304,0.968440051
Positive regulation of multi-organism process (GO:0043902),GO:0043902,Positive regulation of multi-organism process,0.7339588,0.8907273,0.9693344,0.128205128,0.969181988
Positive regulation of rna polymerase ii transcription preinitiation complex assembly (GO:0045899),GO:0045899,Positive regulation of rna polymerase ii transcription preinitiation complex assembly,-0.6742148,0.8911431,0.9695895,0.6,0.969437079
Regulation of mast cell degranulation (GO:0043304),GO:0043304,Regulation of mast cell degranulation,0.7236405,0.8912665,0.9695895,0.3125,0.969437079
Smad protein signal transduction (GO:0060395),GO:0060395,Smad protein signal transduction,0.7746305,0.8916288,0.9698178,0.220779221,0.969665372
Regulation of response to dna damage stimulus (GO:2001020),GO:2001020,Regulation of response to dna damage stimulus,-0.8620742,0.8923127,0.9703399,0.170403587,0.970187406
Arginine catabolic process (GO:0006527),GO:0006527,Arginine catabolic process,-0.6726682,0.892452,0.9703399,0.4,0.970187406
Negative regulation of mitotic cell cycle (GO:0045930),GO:0045930,Negative regulation of mitotic cell cycle,-0.8789938,0.8926795,0.9703399,0.237012987,0.970187406
Inner ear development (GO:0048839),GO:0048839,Inner ear development,0.8253009,0.8927783,0.9703399,0.193717277,0.970187406
Negative regulation of macroautophagy (GO:0016242),GO:0016242,Negative regulation of macroautophagy,-0.7422734,0.8929584,0.9703399,0.294117647,0.970187406
Negative regulation of collagen metabolic process (GO:0010713),GO:0010713,Negative regulation of collagen metabolic process,0.6575183,0.8932378,0.9703399,0.363636364,0.970187406
Bundle of his cell to purkinje myocyte communication (GO:0086069),GO:0086069,Bundle of his cell to purkinje myocyte communication,0.6746629,0.8932378,0.9703399,0.285714286,0.970187406
Response to ph (GO:0009268),GO:0009268,Response to ph,0.7329113,0.8933288,0.9703399,0.225,0.970187406
Developmental induction (GO:0031128),GO:0031128,Developmental induction,-0.7464349,0.8936721,0.9705471,0.277777778,0.97039459
Homologous recombination (GO:0035825),GO:0035825,Homologous recombination,-0.7710765,0.8940825,0.9708272,0.327272727,0.97067455
Semi-lunar valve development (GO:1905314),GO:1905314,Semi-lunar valve development,0.7315319,0.8943613,0.9709642,0.486486486,0.970811566
Protein monoubiquitination (GO:0006513),GO:0006513,Protein monoubiquitination,0.7664466,0.894659,0.9711217,0.173913043,0.970969048
Protein localization to plasma membrane (GO:0072659),GO:0072659,Protein localization to plasma membrane,0.8395945,0.8950704,0.9712422,0.25631769,0.971089539
Bronchus development (GO:0060433),GO:0060433,Bronchus development,0.655595,0.8950753,0.9712422,0.090909091,0.971089539
Cell fate specification (GO:0001708),GO:0001708,Cell fate specification,0.7864515,0.8953968,0.9712952,0.164948454,0.971142598
Left/right pattern formation (GO:0060972),GO:0060972,Left/right pattern formation,0.7001353,0.8954295,0.9712952,0.090909091,0.971142598
Sperm capacitation (GO:0048240),GO:0048240,Sperm capacitation,0.7054652,0.8960126,0.9717621,0.5,0.971609368
Negative regulation of macrophage migration (GO:1905522),GO:1905522,Negative regulation of macrophage migration,0.6564554,0.8968254,0.9718495,0.1,0.971696791
Photoperiodism (GO:0009648),GO:0009648,Photoperiodism,0.7135797,0.896918,0.9718495,0.193548387,0.971696791
Dendritic spine maintenance (GO:0097062),GO:0097062,Dendritic spine maintenance,-0.699902,0.8969683,0.9718495,0.315789474,0.971696791
Ventricular cardiac muscle cell development (GO:0055015),GO:0055015,Ventricular cardiac muscle cell development,0.6601674,0.8970506,0.9718495,0.083333333,0.971696791
Blastocyst development (GO:0001824),GO:0001824,Blastocyst development,0.7870879,0.8970914,0.9718495,0.262135922,0.971696791
Programmed cell death involved in cell development (GO:0010623),GO:0010623,Programmed cell death involved in cell development,0.664854,0.8971722,0.9718495,0.153846154,0.971696791
Positive regulation of telomere maintenance via telomere lengthening (GO:1904358),GO:1904358,Positive regulation of telomere maintenance via telomere lengthening,-0.7448449,0.8975564,0.9718495,0.216216216,0.971696791
Lung epithelial cell differentiation (GO:0060487),GO:0060487,Lung epithelial cell differentiation,0.6976407,0.8975636,0.9718495,0.272727273,0.971696791
Positive regulation of ras protein signal transduction (GO:0046579),GO:0046579,Positive regulation of ras protein signal transduction,-0.7908384,0.8976197,0.9718495,0.2,0.971696791
Negative regulation of telomere maintenance via telomere lengthening (GO:1904357),GO:1904357,Negative regulation of telomere maintenance via telomere lengthening,0.7019306,0.8977153,0.9718495,0.192307692,0.971696791
Vesicle docking (GO:0048278),GO:0048278,Vesicle docking,-0.7798263,0.8977733,0.9718495,0.28125,0.971696791
Convergent extension (GO:0060026),GO:0060026,Convergent extension,0.6706539,0.8981228,0.9720625,0.266666667,0.971909722
"Complement activation, classical pathway (GO:0006958)",GO:0006958,"Complement activation, classical pathway",-0.736261,0.8983894,0.9721857,0.212121212,0.972032885
Protein localization to cell-cell junction (GO:0150105),GO:0150105,Protein localization to cell-cell junction,-0.6707925,0.8988147,0.9723974,0.307692308,0.972244582
Paraxial mesoderm development (GO:0048339),GO:0048339,Paraxial mesoderm development,0.6725939,0.8988907,0.9723974,0.1875,0.972244582
"Dna damage response, signal transduction resulting in transcription (GO:0042772)",GO:0042772,"Dna damage response, signal transduction resulting in transcription",0.6815298,0.9000716,0.9734022,0.166666667,0.973249223
